Indice,Matrícula,Nota_Final_AEDSI,Nota_Final_AEDSII
0,16-52795,63.0,0.0
1,16-52614,68.0,23.0
2,16-51671,86.0,71.0
3,16-51658,86.0,83.0
4,16-51679,81.0,80.0
5,16-51675,78.0,69.0
6,16-52662,81.0,2.0
7,16-52794,89.0,60.0
8,16-52663,100.0,92.0
9,16-52732,93.0,8.0
10,16-52550,84.0,70.0
11,16-51663,60.0,20.0
12,16-51677,81.0,0.0
13,16-51856,95.0,27.0
14,16-52590,93.0,79.0
15,16-51668,84.0,68.0
16,16-52565,87.0,83.0
17,16-51662,83.0,4.0
18,16-51661,95.0,87.0
19,16-52767,67.0,17.0
20,16-52555,71.0,13.0
21,16-51673,100.0,91.0
22,16-52769,98.0,71.0
23,16-51678,60.0,0.0
24,16-51666,76.0,26.0
25,16-51676,96.0,64.0
26,16-51664,64.0,4.0
27,16-51665,98.0,94.0
28,16-51669,89.0,20.0
29,16-30397,75.0,0.0
30,16-52567,67.0,0.0
31,16-51699,66.0,0.0
32,16-52591,81.0,3.0
33,16-33242,0.0,0.0
34,16-51708,77.0,78.0
35,16-51702,66.0,62.0
36,16-52635,89.0,78.0
37,16-52805,65.0,68.0
38,16-52932,69.0,60.0
39,16-32754,0.0,0.0
40,16-51698,89.0,68.0
41,16-52585,60.0,65.0
42,16-51711,67.0,62.0
43,16-51709,93.0,80.0
44,16-51715,69.0,72.0
45,16-52974,72.0,6.0
46,16-51697,84.0,73.0
47,16-52607,73.0,5.0
48,16-52584,90.0,79.0
49,16-53492,60.0,0.0
50,16-53746,64.0,60.0
51,16-53470,90.0,73.5
52,16-53206,91.5,70.0
53,16-53747,63.5,0.0
54,16-53790,67.5,0.0
55,16-53750,74.0,60.5
56,16-53610,66.5,0.0
57,16-53506,68.0,60.0
58,16-53494,69.0,60.0
59,16-53440,92.5,71.5
60,16-52754,80.0,60.0
61,16-53365,77.8,23.0
62,16-53268,64.5,0.0
63,16-53290,85.5,68.0
64,16-53210,88.5,69.0
65,16-53652,71.0,39.0
66,16-53307,92.0,78.5
67,16-53623,64.8,60.0
68,16-53556,87.0,68.5
69,16-53498,88.5,69.6
70,16-53445,92.6,82.0
